busNumber,route,destination,time
17,Kuala Belait,Xiaodukou,12:23 AM
55,Del Campillo,Albany,12:11 AM
89,Limen,Kanashevo,5:01 AM
90,Pécs,Dolní Cerekev,7:17 PM
63,Norrtälje,Mogwase,6:42 AM
78,Pangradin Satu,Savanna-la-Mar,1:56 PM
62,Vale,Wenwusha,5:02 AM
100,Kansas City,Stony Plain,12:33 AM
45,Arroio do Meio,Itambacuri,7:04 AM
64,Piggotts,Fu’an,2:16 PM
49,Limbuhan,Runsonglaozhai,4:30 PM
100,Tuntum,Jianguo,6:43 PM
25,Duas Igrejas,Santa Ana,2:04 PM
31,Palencia,Birao,11:10 AM
27,Taurage,Donskoye,7:22 AM
78,Turinsk,Veřovice,1:24 PM
46,Chengdu,Huaquirca,5:21 AM
41,Barg-e Matāl,Bailang,1:15 AM
41,Tallkalakh,Clarin,3:28 PM
33,Pasirpanjang,Fukiage-fujimi,2:43 AM
86,Pordapor Barat,Stepnogorsk,1:05 PM
24,Gniezno,Bungtiang Barat,4:55 PM
60,Skrunda,Laveiras,6:02 AM
22,Zhenziliang,Cuamba,10:16 AM
88,Kanazawa-shi,Gwandu,8:19 AM
96,Aimin,Kiritsy,2:47 AM
71,Kożuchów,Baofeng,12:22 PM
88,‘Aşīrah al Qiblīyah,Novyy Oskol,7:27 PM
96,Warin Chamrap,Dabao’anzhen,6:36 AM
48,Presidente Epitácio,Gambaru,7:51 AM
100,Đạ Tẻh,Cariaco,12:52 PM
94,Bundoran,Lengshui,5:10 AM
68,Ponyri Vtoryye,Dazaifu,1:46 PM
66,Buaran,Luhačovice,11:27 AM
24,Maninihon,São Filipe,1:43 PM
11,Goya,Gwangjeok,2:28 AM
75,Los Pinos,Quintã,1:42 AM
22,Las Palmas,Neiba,10:53 AM
54,Al Buq‘ah,Bucu Lor,9:43 PM
6,Cubará,Lille,3:49 AM
32,San Pedro Sacatepéquez,Shigu,12:40 AM
42,Salcedo,Shidu,11:55 PM
42,København,Zambrów,9:01 PM
93,Dahongmen,Tugdan,11:02 AM
48,Qaryat ad Da‘īs,Magaozhuang,12:32 PM
59,Chadi,Kalimeneng,9:54 PM
36,Badou,Asan,4:24 AM
48,Planaltina,Si Satchanalai,5:02 PM
